event_annotation	variant	template	genomic_start	genomic_end	transcriptomic_start	transcriptomic_end
es	ENSG00000110446_es	ENSG00000110446_template	60946532	60946821	1259	1548
es	ENSG00000125826_es	ENSG00000125826_template	410412	410764	1101	1453
mes	ENSG00000125826_mes	ENSG00000125826_template	420871,421942,427313,428491	421031,422238,427492,429094	2166,2327,2624,2804	2326,2623,2803,3407
a3	ENSG00000125826_a3	ENSG00000125826_template	417732	417887	1671	1826
es	ENSG00000006283_es	ENSG00000006283_template	50624360	50624529	8435	8604
ale	ENSG00000261599_ale	ENSG00000261599_template	33095357	33095561	4722	4926
ale	ENSG00000261599_template	ENSG00000261599_ale	33094204	33095262	4722	5780
es	ENSG00000213949_es	ENSG00000213949_template	52864763	52864851	780	868
afe	ENSG00000213949_afe	ENSG00000213949_template	52824313	52825210	1	898
afe	ENSG00000213949_template	ENSG00000213949_afe	52787916	52788414	1	499
es	ENSG00000168216_es	ENSG00000168216_template	69737942	69738015	6669	6742
afe	ENSG00000168216_afe	ENSG00000168216_template	69867208	69867236	1	29
afe	ENSG00000168216_template	ENSG00000168216_afe	69867070	69867107	1	38
ale	ENSG00000168216_ale	ENSG00000168216_template	69674010	69676271	8137	10398
ale	ENSG00000168216_template	ENSG00000168216_ale	69672757	69673075	8137	8455
es	ENSG00000108561_es	ENSG00000108561_template	5438492	5438778	390	676
mee	ENSG00000108561_mee	ENSG00000108561_template	5434665	5434966	828	1129
mee	ENSG00000108561_template	ENSG00000108561_mee	5433293	5434110	828	1645
es	ENSG00000134602_es	ENSG00000134602_template	132069478	132069663	880	1065
ir	ENSG00000262873_ir	ENSG00000262873_template	81026788	81027861	219	1292
a5	ENSG00000262873_a5	ENSG00000262873_template	81019667	81019991	634	958
es	ENSG00000137501_es	ENSG00000137501_template	85724032	85728028	1840	5836
afe	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000137501_template	85757625	85758114	1	490
afe	ENSG00000137501_template	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	85810954	85811159	1	206
ale	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000137501_template	85694224	85695340	5600	6716
ale	ENSG00000137501_template	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	85696183	85696494	9231	9542
mee	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000137501_template	85700515	85700623	5391	5499
mee	ENSG00000137501_template	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	85704858	85705255	8733	9130
mes	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000137501_template	85718235,85717483,85717045,85716281,85714413,85711113,85709331,85708038	85718488,85717726,85717140,85716661,85715137,85711232,85709500,85708150	6527,6781,7025,7121,7502,8227,8347,8517	6780,7024,7120,7501,8226,8346,8516,8629
es	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000137501_template	85724032	85728028	1840	5836
ir	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000137501_template	85745773	85748271	643	3141
a3	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000137501_template	85737656	85737656	495	495
a5	ENSG00000137501_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000137501_template	85720858	85720881	5837	5860
es	ENSG00000204959_es	ENSG00000204959_template	144282281	144282534	3278	3531
ale	ENSG00000147124_ale	ENSG00000147124_template	47445879	47449474	1093	4688
ale	ENSG00000147124_template	ENSG00000147124_ale	47455921	47456016	1093	1188
es	ENSG00000135837_es	ENSG00000135837_template	179996553	179997175	409	1031
a5	ENSG00000135837_a5	ENSG00000135837_template	180095709	180095930	9224	9445
afe	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000135837_template	179954773	179955142	1	370
afe	ENSG00000135837_template	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	179986169	179986254	1	86
ale	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000135837_template	180098863	180098985	8006	8128
ale	ENSG00000135837_template	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	180110997	180114875	9779	13657
mee	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000135837_template	180041138	180041248	3600	3710
mee	ENSG00000135837_template	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	180036926	180037089	3960	4123
mes	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000135837_template	180052224,180052970,180053750,180054415,180062220,180065115,180073819,180075022,180078463,180080517,180084018,180085580,180087165,180087578	180052316,180053166,180053934,180054502,180062366,180065272,180073908,180075221,180078674,180080661,180084280,180085928,180087288,180087717	4695,4788,4985,5170,5258,5405,5563,5653,5853,6065,6210,6473,6822,6946	4787,4984,5169,5257,5404,5562,5652,5852,6064,6209,6472,6821,6945,7085
es	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000135837_template	179996553	179997175	409	1031
ir	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000135837_template	180041803	180043055	3852	5104
a3	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000135837_template	180033862	180033882	3739	3759
a5	ENSG00000135837_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000135837_template	180095709	180095930	9224	9445
ir	ENSG00000142669_ir	ENSG00000142669_template	26280204	26280764	119	679
es	ENSG00000183474_es	ENSG00000183474_template	69590328	69590367	4781	4820
es	ENSG00000287908_es	ENSG00000287908_template	57621263	57621427	1773	1937
es	ENSG00000231437_es	ENSG00000231437_template	111990296	111990398	420	522
es	ENSG00000090020_es	ENSG00000090020_template	27103223	27104022	2762	3561
afe	ENSG00000090020_afe	ENSG00000090020_template	27166771	27166981	1	211
afe	ENSG00000090020_template	ENSG00000090020_afe	27155354	27155404	1	51
es	ENSG00000153208_es	ENSG00000153208_template	111947394	111947567	713	886
ir	ENSG00000153208_ir	ENSG00000153208_template	112013559	112015802	2752	4995
a3	ENSG00000153208_a3	ENSG00000153208_template	111944960	111945010	612	662
ale	ENSG00000153208_ale	ENSG00000153208_template	112028351	112029561	3332	4542
ale	ENSG00000153208_template	ENSG00000153208_ale	112028276	112028305	3332	3361
mes	ENSG00000244255_mes	ENSG00000244255_template	31944727,31945178,31946373,31947007,31947348,31947742,31947945,31948374,31948830,31949243,31949420,31950050,31950286,31950619,31950868,31951144,31951341	31944853,31945186,31946606,31947192,31947521,31947843,31948081,31948512,31948961,31949344,31949557,31950147,31950403,31950772,31950944,31951244,31951473	1475,1602,1611,1845,2031,2205,2307,2444,2583,2715,2817,2955,3053,3171,3325,3402,3503	1601,1610,1844,2030,2204,2306,2443,2582,2714,2816,2954,3052,3170,3324,3401,3502,3635
ir	ENSG00000244255_ir	ENSG00000244255_template	31951605	31951874	3686	3955
afe	ENSG00000244255_afe	ENSG00000244255_template	31927955	31928164	1	210
afe	ENSG00000244255_template	ENSG00000244255_afe	31927698	31927798	1	101
es	ENSG00000204852_es	ENSG00000204852_template	110626362	110626492	819	949
es	ENSG00000067141_es	ENSG00000067141_template	73258766	73259111	2886	3231
a5	ENSG00000236305_a5	ENSG00000236305_template	100852514	100852550	1	37
es	ENSG00000177225_es	ENSG00000177225_template	772427	772614	575	762
afe	ENSG00000177225_afe	ENSG00000177225_template	776680	777179	1	500
afe	ENSG00000177225_template	ENSG00000177225_afe	777399	777488	1	90
es	ENSG00000004059_es	ENSG00000004059_template	127590963	127591112	1188	1337
a5	ENSG00000105323_a5	ENSG00000105323_template	41264614	41264798	356	540
afe	ENSG00000105323_afe	ENSG00000105323_template	41262496	41262582	1	87
afe	ENSG00000105323_template	ENSG00000105323_afe	41262662	41263016	1	355
es	ENSG00000232645_es	ENSG00000232645_template	23357721	23357855	163	297
ir	ENSG00000268643_ir	ENSG00000268643_template	42236717	42236857	428	568
es	ENSG00000117318_es	ENSG00000117318_template	23558445	23559075	376	1006
ir	ENSG00000285814_ir	ENSG00000285814_template	7716260	7716717	324	781
a3	ENSG00000285814_a3	ENSG00000285814_template	7716060	7716060	124	124
es	ENSG00000101294_es	ENSG00000101294_template	31549207	31549332	5931	6056
ir	ENSG00000101294_ir	ENSG00000101294_template	31541734	31544946	4109	7321
ir	ENSG00000166787_ir	ENSG00000166787_template	18113293	18115985	148	2840
es	ENSG00000108799_es	ENSG00000108799_template	42712289	42712485	2134	2330
ir	ENSG00000108799_ir	ENSG00000108799_template	42728953	42729146	343	536
a5	ENSG00000108799_a5	ENSG00000108799_template	42731775	42731798	40	63
es	ENSG00000196565_es	ENSG00000196565_template	5254292	5254514	401	623
a3	ENSG00000196565_a3	ENSG00000196565_template	5254746	5254781	256	291
ale	ENSG00000253775_ale	ENSG00000253775_template	20120623	20120678	1554	1609
ale	ENSG00000253775_template	ENSG00000253775_ale	20124504	20124857	1554	1907
mee	ENSG00000111181_mee	ENSG00000111181_template	200651	200783	2077	2209
mee	ENSG00000111181_template	ENSG00000111181_mee	201228	201849	2077	2698
es	ENSG00000155265_es	ENSG00000155265_template	97859449	97859583	474	608
ale	ENSG00000155265_ale	ENSG00000155265_template	97864168	97864269	762	863
ale	ENSG00000155265_template	ENSG00000155265_ale	97865590	97871580	762	6752
afe	ENSG00000196954_afe	ENSG00000196954_template	104968519	104968728	1	210
afe	ENSG00000196954_template	ENSG00000196954_afe	104969250	104969366	1	117
ale	ENSG00000196954_ale	ENSG00000196954_template	104942866	104944851	1316	3301
ale	ENSG00000196954_template	ENSG00000196954_ale	104946624	104949777	1316	4469
es	ENSG00000135046_es	ENSG00000135046_template	73159329	73159879	1263	1813
a5	ENSG00000135046_a5	ENSG00000135046_template	73154338	73154342	61	65
ale	ENSG00000167721_ale	ENSG00000167721_template	2324504	2324578	2749	2823
ale	ENSG00000167721_template	ENSG00000167721_ale	2322396	2324374	2749	4727
es	ENSG00000139219_es	ENSG00000139219_template	47995710	47995763	1305	1358
afe	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000139219_template	48004237	48004554	1	318
afe	ENSG00000139219_template	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	48002622	48003041	1	420
ale	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000139219_template	47972967	47973553	1683	2269
ale	ENSG00000139219_template	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	47974089	47974331	5070	5312
mee	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000139219_template	47998415	47998859	429	873
mee	ENSG00000139219_template	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	47999697	48000125	531	959
mes	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000139219_template	47993458,47992878,47989761,47989228,47988426,47987611,47987269,47987078,47986835,47986336,47985912,47985728,47985534,47984995,47984546,47984087,47983683,47983385,47983093,47982848,47982502,47981945,47981776,47981343,47980915,47980554,47980009,47979511,47978597,47978291,47978010,47977600,47977320,47977102,47976812,47976514,47975963,47975317	47993502,47992931,47989805,47989281,47988471,47987709,47987313,47987176,47986888,47986443,47985965,47985826,47985587,47985093,47984599,47984140,47983855,47983438,47983137,47982946,47982609,47982160,47981829,47981396,47980968,47980661,47980062,47979564,47978758,47978398,47978117,47977653,47977445,47977155,47976919,47976567,47976070,47975605	1575,1620,1674,1719,1773,1819,1918,1963,2062,2116,2224,2278,2377,2431,2530,2584,2638,2811,2865,2910,3009,3117,3333,3387,3441,3495,3603,3657,3711,3873,3981,4089,4143,4269,4323,4431,4485,4593	1619,1673,1718,1772,1818,1917,1962,2061,2115,2223,2277,2376,2430,2529,2583,2637,2810,2864,2909,3008,3116,3332,3386,3440,3494,3602,3656,3710,3872,3980,4088,4142,4268,4322,4430,4484,4592,4881
es	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000139219_template	47995710	47995763	1305	1358
ir	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000139219_template	47997925	47998031	917	1023
a3	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000139219_template	47998042	47998064	993	1015
a5	ENSG00000139219_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000139219_template	47997871	47997894	1026	1049
es	ENSG00000176853_es	ENSG00000176853_template	123787664	123787750	1682	1768
mes	ENSG00000176853_mes	ENSG00000176853_template	123777265,123778025,123778659	123777322,123778092,123778772	489,547,615	546,614,728
afe	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000176853_template	123774080	123774164	1	85
afe	ENSG00000176853_template	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	123768439	123768774	1	336
ale	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000176853_template	123812056	123812177	5166	5287
ale	ENSG00000176853_template	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	123812519	123815452	4060	6993
mee	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000176853_template	123780480	123780542	336	398
mee	ENSG00000176853_template	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	123784470	123784795	827	1152
mes	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000176853_template	123777265,123778025,123778659	123777322,123778092,123778772	489,547,615	546,614,728
es	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000176853_template	123787664	123787750	1682	1768
ir	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000176853_template	123806230	123808271	1587	3628
a3	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000176853_template	123806080	123806084	2373	2377
a5	ENSG00000176853_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000176853_template	123798149	123798238	1902	1991
es	ENSG00000269445_es	ENSG00000269445_template	38527555	38527775	236	456
es	ENSG00000243147_es	ENSG00000243147_template	27779433	27779734	784	1085
a5	ENSG00000243147_a5	ENSG00000243147_template	27894603	27894684	1209	1290
ir	ENSG00000173769_ir	ENSG00000173769_template	44290887	44304014	3966	17093
es	ENSG00000242082_es	ENSG00000242082_template	32229090	32229372	275	557
es	ENSG00000225882_es	ENSG00000225882_template	17971987	17972155	306	474
mes	ENSG00000011422_mes	ENSG00000011422_template	43667777,43667215,43665110,43660974,43656479,43655439,43651824	43668320,43667691,43665459,43661548,43656802,43655573,43652371	483,1027,1504,1854,2429,2753,2888	1026,1503,1853,2428,2752,2887,3435
mee	ENSG00000143195_mee	ENSG00000143195_template	166939514	166939570	772	828
mee	ENSG00000143195_template	ENSG00000143195_mee	166936591	166936737	772	918
es	ENSG00000248905_es	ENSG00000248905_template	33092133	33092203	2334	2404
afe	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000248905_template	33193909	33194060	1	152
afe	ENSG00000248905_template	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	33194578	33194714	1	137
ale	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000248905_template	32776835	32776919	26308	26392
ale	ENSG00000248905_template	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	32765544	32774354	9627	18437
mee	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000248905_template	33149784	33151379	218	1813
mee	ENSG00000248905_template	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	33153048	33155045	203	2200
mes	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000248905_template	33008014,32968714,32964107,32926174,32910474,32908159,32901911,32899795,32898834,32888172,32860680,32857015,32810895	33008075,32969477,32964257,32926261,32910535,32908578,32902040,32900252,32898893,32888292,32860837,32857107,32811111	6641,6703,7467,7618,7706,7768,8188,8318,8776,8836,8957,9115,9208	6702,7466,7617,7705,7767,8187,8317,8775,8835,8956,9114,9207,9424
es	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000248905_template	33092133	33092203	2334	2404
ir	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000248905_template	33068163	33088798	2123	22758
a3	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000248905_template	32798849	32798953	9477	9581
a5	ENSG00000248905_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000248905_template	33066511	33067118	2581	3188
es	ENSG00000154518_es	ENSG00000154518_template	175179645	175180178	3254	3787
ale	ENSG00000234593_ale	ENSG00000234593_template	14346236	14346470	2430	2664
ale	ENSG00000234593_template	ENSG00000234593_ale	14338825	14339018	2430	2623
es	ENSG00000242428_es	ENSG00000242428_template	58914873	58914931	235	293
ir	ENSG00000242428_ir	ENSG00000242428_template	58824576	58866541	140	42105
ale	ENSG00000242428_ale	ENSG00000242428_template	59017207	59019093	394	2280
ale	ENSG00000242428_template	ENSG00000242428_ale	58970358	58972057	394	2093
ir	ENSG00000234773_ir	ENSG00000234773_template	12207709	12208194	739	1224
a3	ENSG00000266010_a3	ENSG00000266010_template	22165663	22165862	2321	2520
afe	ENSG00000130377_afe	ENSG00000130377_template	6135635	6135918	1	284
afe	ENSG00000130377_template	ENSG00000130377_afe	6135247	6135360	1	114
es	ENSG00000259075_es	ENSG00000259075_template	89525120	89525204	383	467
es	ENSG00000230485_es	ENSG00000230485_template	19631720	19632167	128	575
es	ENSG00000117697_es	ENSG00000117697_template	212787559	212787637	254	332
es	ENSG00000196655_es	ENSG00000196655_template	119023321	119024134	3398	4211
a3	ENSG00000196655_a3	ENSG00000196655_template	119023010	119023175	3125	3290
es	ENSG00000184445_es	ENSG00000184445_template	122601851	122601951	6667	6767
a3	ENSG00000184445_a3	ENSG00000184445_template	122605306	122605386	7818	7898
afe	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000184445_template	122527246	122527351	1	106
afe	ENSG00000184445_template	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	122527456	122527680	1	225
ale	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000184445_template	122624598	122624688	9096	9186
ale	ENSG00000184445_template	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	122626205	122626396	10370	10561
mee	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000184445_template	122620042	122620608	8383	8949
mee	ENSG00000184445_template	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	122621881	122621970	10134	10223
mes	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000184445_template	122551319,122551458,122551621,122557384,122557600,122561921,122562638,122568261,122569681,122570876,122571025,122572937,122573142,122574282,122575543,122575800	122551362,122551523,122551696,122557509,122557689,122561974,122562699,122568372,122569824,122570932,122571126,122573056,122573285,122574380,122575646,122575899	1385,1429,1495,1571,1697,1787,1841,1903,2015,2159,2216,2318,2438,2582,2681,2785	1428,1494,1570,1696,1786,1840,1902,2014,2158,2215,2317,2437,2581,2680,2784,2884
es	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000184445_template	122601851	122601951	6667	6767
ir	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000184445_template	122613231	122613449	7485	7703
a3	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000184445_template	122605306	122605386	7818	7898
a5	ENSG00000184445_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000184445_template	122609262	122609430	7928	8096
es	ENSG00000211895_es	ENSG00000211895_template	105707118	105707562	668	1112
a3	ENSG00000211895_a3	ENSG00000211895_template	105704055	105704086	1331	1362
es	ENSG00000188647_es	ENSG00000188647_template	69750781	69750950	1742	1911
es	ENSG00000168067_es	ENSG00000168067_template	64801710	64801813	570	673
mee	ENSG00000168067_mee	ENSG00000168067_template	64800764	64800826	790	852
mee	ENSG00000168067_template	ENSG00000168067_mee	64800900	64801031	790	921
es	ENSG00000148660_es	ENSG00000148660_template	73872989	73873083	330	424
es	ENSG00000167394_es	ENSG00000167394_template	31064572	31064685	1053	1166
a3	ENSG00000167394_a3	ENSG00000167394_template	31062134	31062280	1836	1982
afe	ENSG00000167394_afe	ENSG00000167394_template	31073659	31074240	1	582
afe	ENSG00000167394_template	ENSG00000167394_afe	31072740	31073502	1	763
ale	ENSG00000104321_ale	ENSG00000104321_template	72019917	72020023	4372	4478
ale	ENSG00000104321_template	ENSG00000104321_ale	72021250	72023116	4372	6238
es	ENSG00000157168_es	ENSG00000157168_template	32751063	32751155	7343	7435
ale	ENSG00000157168_ale	ENSG00000157168_template	32763748	32774046	9761	20059
ale	ENSG00000157168_template	ENSG00000157168_ale	32854328	32855666	9761	11099
es	ENSG00000170091_es	ENSG00000170091_template	174046093	174046162	139	208
es	ENSG00000196993_es	ENSG00000196993_template	28766294	28766489	1176	1371
a5	ENSG00000196993_a5	ENSG00000196993_template	28770763	28770793	1433	1463
a5	ENSG00000283246_a5	ENSG00000283246_template	40193455	40193574	1	120
es	ENSG00000153233_es	ENSG00000153233_template	70745818	70746086	1712	1980
ale	ENSG00000153233_ale	ENSG00000153233_template	70639519	70639672	3679	3832
ale	ENSG00000153233_template	ENSG00000153233_ale	70638073	70639277	3679	4883
es	ENSG00000204624_es	ENSG00000204624_template	11535478	11535644	4726	4892
mes	ENSG00000204624_mes	ENSG00000204624_template	11500990,11502678,11514390,11515369,11516001,11517463,11519355,11519719,11520687,11523942,11525176,11526651,11529556	11502088,11502897,11514526,11515503,11516161,11517602,11519503,11519880,11520848,11524055,11525312,11526835,11529686	922,2021,2241,2378,2513,2674,2814,2963,3125,3287,3401,3538,3723	2020,2240,2377,2512,2673,2813,2962,3124,3286,3400,3537,3722,3853
es	ENSG00000256969_es	ENSG00000256969_template	4013692	4013786	214	308
es	ENSG00000100083_es	ENSG00000100083_template	37614133	37614274	1789	1930
ir	ENSG00000100083_ir	ENSG00000100083_template	37610700	37612535	1070	2905
es	ENSG00000122068_es	ENSG00000122068_template	197773403	197773499	1751	1847
mes	ENSG00000096746_mes	ENSG00000096746_template	68336806,68338806	68338687,68339226	1063,2945	2944,3365
es	ENSG00000122257_es	ENSG00000122257_template	24559505	24559805	4760	5060
a3	ENSG00000122257_a3	ENSG00000122257_template	24567792	24567810	6293	6311
mee	ENSG00000122257_mee	ENSG00000122257_template	24555821	24555917	4506	4602
mee	ENSG00000122257_template	ENSG00000122257_mee	24556308	24556447	4506	4645
afe	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000122257_template	24537693	24537933	1	241
afe	ENSG00000122257_template	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	24539556	24540792	1	1237
ale	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000122257_template	24570876	24572863	7966	9953
ale	ENSG00000122257_template	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	24568745	24570499	6395	8149
mee	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000122257_template	24555821	24555917	7101	7197
mee	ENSG00000122257_template	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	24556308	24556447	4506	4645
mes	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000122257_template	24561824,24563199	24562161,24563501	5165,5503	5502,5805
es	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000122257_template	24559505	24559805	4760	5060
ir	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000122257_template	24549402	24552992	799	4389
a3	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000122257_template	24567792	24567810	6293	6311
a5	ENSG00000122257_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000122257_template	24563645	24563664	5806	5825
es	ENSG00000128564_es	ENSG00000128564_template	101164986	101165114	197	325
a5	ENSG00000118156_a5	ENSG00000118156_template	47532128	47532163	3234	3269
afe	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000173599_template	66957740	66957996	1	257
afe	ENSG00000173599_template	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	66958322	66958386	1	65
ale	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000173599_template	66849230	66849370	39537	39677
ale	ENSG00000173599_template	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	66848417	66849147	6153	6883
mee	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000173599_template	66858336	66858356	39142	39162
mee	ENSG00000173599_template	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	66857883	66858269	3557	3943
mes	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000173599_template	66855027,66853239,66852743,66852439,66851790,66851040,66850674,66850220,66849937	66855133,66853451,66852962,66852660,66851946,66851280,66850923,66850464,66850116	4069,4176,4389,4609,4831,4988,5229,5479,5724	4175,4388,4608,4830,4987,5228,5478,5723,5903
es	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000173599_template	66871315	66871480	2103	2268
ir	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000173599_template	66872160	66907820	1974	37634
a3	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000173599_template	66871780	66871871	1918	2009
a5	ENSG00000173599_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000173599_template	66870302	66870311	2533	2542
